ID,TYPE,NAME,LATITUDE,LONGITUDE,COUNTRY,REGION
9963,heliport,Mason District Hospital Heliport,40,-90,US,US-IL
9965,small_airport,Wild Blue Airport,38,-84,US,US-KY
9967,small_airport,Seeman Airport,41,-89,US,US-IL
9969,small_airport,Norm's Field,42,-72,US,US-MA
9970,small_airport,Rentz Ultralightport,42,-86,US,US-MI
9973,heliport,Presbyterian Hospital Huntersville Heliport,35,-81,US,US-NC
9975,heliport,Atlantic City Medical Center-Mainland Division Hel,39,-75,US,US-NJ
9976,heliport,Troop E Heliport,43,-77,US,US-NY
9977,heliport,Au Heliport,41,-83,US,US-OH
9980,heliport,Foxcatcher Farm Heliport,40,-75,US,US-PA
45742,heliport,Control Dynamics Heliport,40,-75,US,US-PA
9985,small_airport,Aberdeen Field,37,-77,US,US-VA
9987,small_airport,Mcdermott Air Park,43,-89,US,US-WI
9988,small_airport,Berlin Field,44,-89,US,US-WI
9996,small_airport,Sunset Strip Airpark,27,-81,US,US-FL
9997,heliport,Kearney Construction Heliport,28,-82,US,US-FL
9998,heliport,Meyer Heliport,29,-81,US,US-FL
9999,small_airport,Sebastian Cove Airport,33,-83,US,US-GA
10000,small_airport,Roberts Airport,39,-85,US,US-IN
10001,heliport,Village of Tamms Heliport,37,-89,US,US-IL
10002,heliport,Roto-Whirl/Ski World Heliport,39,-86,US,US-IN
10005,heliport,St Elizabeth Medical Center South Heliport,39,-85,US,US-KY
10007,small_airport,The Sandbox Airport,42,-90,US,US-IL
10008,small_airport,Stevens Strip,30,-90,US,US-LA
10009,heliport,North Adams Regional Hospital Heliport,43,-73,US,US-MA
10010,small_airport,Roseland Airport,39,-76,US,US-MD
10011,heliport,William Beaumont Hospital Heliport,43,-83,US,US-MI
10013,small_airport,Phillips Airport,38,-90,US,US-MO
45500,small_airport,Browns Landing,31,-90,US,US-MS
10014,small_airport,Hall Field,35,-79,US,US-NC
10016,heliport,George Harms Const Heliport,40,-74,US,US-NJ
10017,small_airport,Schoharie Creek Airport,43,-74,US,US-NY
10018,heliport,S J M Landing Heliport,42,-72,US,US-NY
10019,small_airport,Rall Field,41,-82,US,US-OH
10022,small_airport,Yost Personal Use Airport,40,-77,US,US-PA
10023,small_airport,Black Rock Airport,41,-80,US,US-PA
45794,heliport,Southern Tennessee Medical Center Heliport,35,-86,US,US-TN
10028,small_airport,Old South Aerodrome,37,-82,US,US-VA
10030,small_airport,Dalonia Airport,44,-89,US,US-WI
45933,small_airport,Bowman Airstrip,45,-88,US,US-WI
10032,small_airport,Fairview Airport,35,-82,US,US-SC
10036,small_airport,Jablonski Airport,43,-86,US,US-MI
45337,small_airport,Irish Hills Farms Airport,42,-73,US,US-CT
10041,small_airport,Recreation Corporation Airport,28,-81,US,US-FL
